HEI,role,betweenness,closeness,degree,diversity,eccentricity,pagerank,personalized_pagerank,strength
F__ANGERS04,0,1007.1500495136755,0.44021447721179624,167.0,1.0,5.0,0.00043145411329753916,0.00043145411329750783,167.0
F__BORDEAU03,0,4247.031113643935,0.45535219079312256,270.0,1.0,5.0,0.0007406825076455541,0.0007406825076454993,270.0
F__BORDEAU12,0,747.2015765719244,0.41538072350113836,116.0,1.0,5.0,0.0003917891092121923,0.00039178910921218576,116.0
F__BREST01,0,9053.184014796365,0.45234159779614325,228.0,1.0,5.0,0.0004948640609405796,0.000494864060940551,228.0
F__GRENOBL01,0,5741.328351401078,0.46894188205054976,367.0,1.0,6.0,0.0010362275561038384,0.001036227556103751,367.0
F__GRENOBL02,0,9296.842344561797,0.4643008624346105,325.0,1.0,5.0,0.0008380418120900251,0.0008380418120899875,325.0
F__LE-HAVR04,0,3004.1811732932615,0.43763326226012794,165.0,1.0,5.0,0.00044623732408617976,0.0004462373240861543,165.0
F__LILLE15,0,4592.712525690569,0.4395663231160487,210.0,1.0,5.0,0.0006790468069553689,0.0006790468069553625,210.0
F__LYON02,0,7329.032827479313,0.4649582330454481,358.0,1.0,5.0,0.0009223835269278802,0.0009223835269278201,358.0
F__LYON03,0,8064.557280497288,0.46260036624876744,380.0,1.0,5.0,0.0011391566629412539,0.0011391566629412391,380.0
F__MONTPEL01,0,5718.058460011684,0.45808341470219,295.0,1.0,5.0,0.0008917053661228363,0.000891705366122811,295.0
F__MONTPEL02,0,6078.027791302065,0.4607182940516274,295.0,1.0,6.0,0.0008722560181093251,0.0008722560181093012,295.0
F__MONTPEL13,1,798.8945895470209,0.42439906952700956,117.0,1.0,5.0,0.00036479477396441203,0.0003647947739644137,117.0
F__NANCY02,0,6241.454028564397,0.4641696113074205,292.0,1.0,5.0,0.0007275335134756644,0.0007275335134756622,292.0
F__NANCY37,1,687.6321758214953,0.4119934763517752,81.0,1.0,6.0,0.00024276015795186536,0.00024276015795184799,81.0
F__NANTES01,0,14454.573220665645,0.4735400144196107,435.0,1.0,5.0,0.0010080249520551766,0.0010080249520551495,435.0
F__NICE01,0,8456.472450597075,0.4716357891713342,388.0,1.0,5.0,0.0011256385269790066,0.0011256385269789756,388.0
F__PARIS003,0,8081.9011905838215,0.464104013566987,358.0,1.0,5.0,0.0010196891451659234,0.0010196891451658976,358.0
F__PARIS004,0,8507.494331635136,0.46707438486701747,393.0,1.0,6.0,0.0011997597254408245,0.0011997597254408009,393.0
F__PARIS007,0,1946.933460845849,0.45814732142857145,290.0,1.0,6.0,0.0008340736370011837,0.0008340736370012076,290.0
